CLASSIC_LASER_IN;CLASSIS_OUT;QUANT_IN_PORT;QUANT_DETECTOR_PORT;MIN photon count;MAX photon count;timestamp epoch;timestamp_utc;duration
;;;;;;;;
1;9;-;-;3163;3387;1744311971.246721170;Thu Apr 10 07:06:11 PM UTC 2025;45.931624483
1;9;2;10;2871;3468;1744312017.185223052;Thu Apr 10 07:06:57 PM UTC 2025;91.468223389
1;9;3;10;7340;7735;1744312108.660064264;Thu Apr 10 07:08:28 PM UTC 2025;28.192437207
1;9;4;10;2798;3121;1744312136.858780458;Thu Apr 10 07:08:56 PM UTC 2025;50.873917668
1;9;5;10;11428;12457;1744312187.739248532;Thu Apr 10 07:09:47 PM UTC 2025;97.563214650
1;9;6;10;3009;3699;1744312285.309334352;Thu Apr 10 07:11:25 PM UTC 2025;47.791528612
1;9;7;10;3662;4055;1744312333.107699041;Thu Apr 10 07:12:13 PM UTC 2025;52.303065585
1;9;8;10;3026;3334;1744312385.417600959;Thu Apr 10 07:13:05 PM UTC 2025;60.227355623
1;9;-;-;2608;2818;1744312690.247571818;Thu Apr 10 07:18:10 PM UTC 2025;44.833325249
1;9;2;11;4158;4819;1744312735.087870220;Thu Apr 10 07:18:55 PM UTC 2025;34.936465577
1;9;3;11;1224;1476;1744312770.030990161;Thu Apr 10 07:19:30 PM UTC 2025;38.607374036
1;9;4;11;3360;3699;1744312808.645804981;Thu Apr 10 07:20:08 PM UTC 2025;45.149663135
1;9;5;11;6421;8313;1744312853.802000200;Thu Apr 10 07:20:53 PM UTC 2025;118.415964959
1;9;6;11;2070;3507;1744312972.224436690;Thu Apr 10 07:22:52 PM UTC 2025;80.532555288
1;9;7;11;2543;2718;1744313052.764043551;Thu Apr 10 07:24:12 PM UTC 2025;48.974941270
1;9;8;11;2609;3113;1744313101.746021971;Thu Apr 10 07:25:01 PM UTC 2025;38.015092376
1;9;-;-;11062;11849;1744314162.494372048;Thu Apr 10 07:42:42 PM UTC 2025;51.626114420
1;9;2;12;7112;8305;1744314214.127697963;Thu Apr 10 07:43:34 PM UTC 2025;81.950146437
1;9;3;12;13615;14575;1744314296.084804885;Thu Apr 10 07:44:56 PM UTC 2025;71.804370052
1;9;4;12;11453;12232;1744314367.895948991;Thu Apr 10 07:46:07 PM UTC 2025;164.382566118
1;9;5;12;79839;146434;1744314532.284867339;Thu Apr 10 07:48:52 PM UTC 2025;179.774687947
1;9;6;12;11402;18967;1744314712.066318347;Thu Apr 10 07:51:52 PM UTC 2025;71.849778630
1;9;7;12;12136;13420;1744314783.922913066;Thu Apr 10 07:53:03 PM UTC 2025;47.635814427
1;9;8;12;23878;14643;1744314831.566037199;Thu Apr 10 07:53:51 PM UTC 2025;45.763528864
1;9;-;-;1118;1614;1744317351.577337833;Thu Apr 10 08:35:51 PM UTC 2025;41.367168673
1;9;2;13;3368;4483;1744317392.951511408;Thu Apr 10 08:36:32 PM UTC 2025;70.716746148
1;9;3;13;23586;24683;1744317463.675232791;Thu Apr 10 08:37:43 PM UTC 2025;59.830752869
1;9;4;13;9144;9702;1744317523.512566749;Thu Apr 10 08:38:43 PM UTC 2025;57.792265126
1;9;5;13;16186;23374;1744317581.311652014;Thu Apr 10 08:39:41 PM UTC 2025;224.494721504
1;9;6;13;4637;9242;1744317805.813113440;Thu Apr 10 08:43:25 PM UTC 2025;143.597844058
1;9;7;13;2275;2964;1744317949.417810646;Thu Apr 10 08:45:49 PM UTC 2025;56.911033285
1;9;8;13;3891;5571;1744318006.335791243;Thu Apr 10 08:46:46 PM UTC 2025;47.844465369
1;9;-;-;998;1503;1744318252.233913918;Thu Apr 10 08:50:52 PM UTC 2025;51.236664007
1;9;2;14;4759;8206;1744318303.477587142;Thu Apr 10 08:51:43 PM UTC 2025;149.357526411
1;9;3;14;16234;17953;1744318452.842024657;Thu Apr 10 08:54:12 PM UTC 2025;84.550356665
