Q_SOURCE_PORT;Q_DETECTOR_PORT;CLASSIC_LASER_PORT;CLASSIC_OUT_PORT;MIN_PHOTON_COUNT;MAX_PHTON_COUNT;TIMESTAMP_EPOCH;TIMESTAMP_UTC;DURATION;
;;;;;;;;;
2;10;-;-;613;810;1744230213.03875;Wed Apr  9 08:23:33 PM UTC 2025;82.137968394;
2;10;1;9;2601;3606;1744230295.18452;Wed Apr  9 08:24:55 PM UTC 2025;49.316673335;
2;10;1;11;28003;33679;1744230344.50827;Wed Apr  9 08:25:44 PM UTC 2025;101.365046388;
2;10;1;12;3272;3469;1744230445.88001;Wed Apr  9 08:27:25 PM UTC 2025;56.209314633;
2;10;1;13;343;821;1744230502.09614;Wed Apr  9 08:28:22 PM UTC 2025;49.444621983;
2;10;1;14;2261;3768;1744230551.54707;Wed Apr  9 08:29:11 PM UTC 2025;99.322504911;
2;10;1;15;472;726;1744230650.87699;Wed Apr  9 08:30:50 PM UTC 2025;51.941496933;
2;10;1;16;376;527;1744230702.8251;Wed Apr  9 08:31:42 PM UTC 2025;74.687165846;
2;10;-;-;2361;3087;1744231175.77769;Wed Apr  9 08:39:35 PM UTC 2025;55.03299807;
2;10;3;9;3709;5619;1744231230.81675;Wed Apr  9 08:40:30 PM UTC 2025;110.365509229;
2;10;3;11;21631;24293;1744231341.18919;Wed Apr  9 08:42:21 PM UTC 2025;99.07537163;
2;10;3;12;5575;6215;1744231440.27125;Wed Apr  9 08:44:00 PM UTC 2025;66.66362934;
2;10;3;13;2691;4317;1744231506.9417;Wed Apr  9 08:45:06 PM UTC 2025;86.638374776;
2;10;3;14;2189;6374;1744231593.58687;Wed Apr  9 08:46:33 PM UTC 2025;119.71850779;
2;10;3;15;2620;3192;1744231713.31195;Wed Apr  9 08:48:33 PM UTC 2025;58.57399836;
2;10;3;16;2069;2502;1744231771.89318;Wed Apr  9 08:49:31 PM UTC 2025;66.9832323;
2;10;-;-;2215;3319;1744232157.61993;Wed Apr  9 08:55:57 PM UTC 2025;80.05294408;
2;10;4;9;3279;4275;1744232237.68019;Wed Apr  9 08:57:17 PM UTC 2025;84.499584025;
2;10;4;11;23278;28597;1744232322.18688;Wed Apr  9 08:58:42 PM UTC 2025;75.629405588;
2;10;4;12;2505;2784;1744232397.82283;Wed Apr  9 08:59:57 PM UTC 2025;58.029774377;
2;10;4;13;2664;4281;1744232455.85909;Wed Apr  9 09:00:55 PM UTC 2025;47.797370927;
2;10;4;14;2585;6188;1744232503.66351;Wed Apr  9 09:01:43 PM UTC 2025;128.237623463;
2;10;4;15;2637;3918;1744232631.90811;Wed Apr  9 09:03:51 PM UTC 2025;57.076183695;
2;10;4;16;2966;3203;1744232688.99087;Wed Apr  9 09:04:48 PM UTC 2025;41.322219407;
2;10;-;-;226;378;1744233059.99414;Wed Apr  9 09:10:59 PM UTC 2025;27.94003216;
2;10;5;9;310;552;1744233087.94135;Wed Apr  9 09:11:27 PM UTC 2025;58.946949609;
2;10;5;11;180;480;1744233146.89527;Wed Apr  9 09:12:26 PM UTC 2025;83.239739941;
2;10;5;12;326;539;1744233230.14171;Wed Apr  9 09:13:50 PM UTC 2025;109.805088685;
2;10;5;13;213;252;1744233339.95468;Wed Apr  9 09:15:39 PM UTC 2025;39.299405503;
2;10;5;14;303;388;1744233379.26062;Wed Apr  9 09:16:19 PM UTC 2025;53.389747891;
